id;Nodo;Contratista;Subcontratista;Fecha;percDsFecPre;percDsFecPost;percUsFecPre(%);percUsFecPost(%);percSnrDs(dB);percSnrUs(dB);percPh;percThroughput(%);QD;QU;QR;
62e8e38be502162143036a32;LV09BA;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000461937;0.00000162518;0.1;0;42.6;37.7;9.21875;85.714285714286;0.6;0.6;0.6;
62e8e38be502162143036a33;LV09BB;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A ;SERVICIOS INTEGRADOS Y CONSTRUCCIONES ESPECIALES SICE S.A;01-07-2022 00:00:00;0.00000225382;0.00000172214;22.7;1.8;42.1;39.1;10;85.714285714286;0.6;0.4;0.48;
62e8e38be502162143036a34;FR33AA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000453117;0.00000222639;0.1;0;43.3;41;9.7368421052632;100;0.6;1;0.84;
62e8e38be502162143036a35;FR33AB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0011161028523235;0.00022906938720946;0;0;43.3;41.4;9.3181818181818;100;0.5;1;0.8;
62e8e38be502162143036a36;FR33AC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00001539296;0.00000143268;2;0;43;39.2;9.4827586206897;100;0.5;1;0.8;
62e8e38be502162143036a37;FR33AD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0016398166776718;0.001500878782382;0;0;44.1;40.8;9.7916666666667;100;0.5;1;0.8;
62e8e38be502162143036a38;FR33BA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000607822;0.00000381806;5.3;0.5;42;40.8;9.7435897435897;100;0.6;1;0.84;
62e8e38be502162143036a39;FR33BB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000033373;0.00000065828;22.3;4.6;42.7;39.3;9.4230769230769;100;1;0.8;0.88;
62e8e38be502162143036a3a;FR33BC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0029165771327629;0.002859062980378;0.1;0;42.4;38.9;7.6315789473684;100;0.5;1;0.8;
62e8e38be502162143036a3b;FR33BD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00000263895;0.00000068043;0.5;0;43.4;41.1;9.3283582089552;100;1;1;1;
62e8e38be502162143036a3c;FR33CA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00002166089;0.00000249047;36.9;2.9;42.3;32.1;9.375;100;0.5;0.7;0.62;
62e8e38be502162143036a3d;FR33CB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0000041805;0.00000854356;0;0;43.8;41.8;9.7826086956522;100;0.6;1;0.84;
62e8e38ce502162143036a3e;FR33CC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00001034045;0.00000469787;3;0;42;41.7;9.051724137931;100;0.5;1;0.8;
62e8e38ce502162143036a3f;FR33CD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00019302789115286;0.00000463437;0;0;42.3;38.4;9.2982456140351;100;0.5;1;0.8;
62e8e38ce502162143036a40;FR33DA;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00053876126599803;0.00006298995;0;0;43.9;41.5;9.5;100;0.5;1;0.8;
62e8e38ce502162143036a41;FR33DB;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.00028433575258355;0.00002570855;0;0;42.8;40.2;9.3589743589744;100;0.5;1;0.8;
62e8e38ce502162143036a42;FR33DC;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.0000016435;0.00000081639;0.1;0;44.1;41.7;9.6511627906977;100;1;1;1;
62e8e38ce502162143036a43;FR33DD;Sur Red;SUR RED S.A;01-07-2022 00:00:00;0.000024042;0.00008213471;1.3;0.8;43.6;41.2;9.8571428571429;100;0.5;1;0.8;
